PassengerId,Survived,Age,SibSp,Parch,Fare,FamilySize,Sex_male,Embarked_Q,Embarked_S,Pclass_2,Pclass_3,Title_Miss,Title_Mlle,Title_Mme,Title_Mr,Title_Mrs,Title_Ms,Title_Rare,Pclass,Embarked
1,0,22.0,1,0,7.25,2,True,False,True,False,True,False,False,False,True,False,False,False,3,S
2,1,38.0,1,0,71.2833,2,False,False,False,False,False,False,False,False,False,True,False,False,1,C
3,1,26.0,0,0,7.925,1,False,False,True,False,True,True,False,False,False,False,False,False,3,S
4,1,35.0,1,0,53.1,2,False,False,True,False,False,False,False,False,False,True,False,False,1,S
5,0,35.0,0,0,8.05,1,True,False,True,False,True,False,False,False,True,False,False,False,3,S
6,0,28.0,0,0,8.4583,1,True,True,False,False,True,False,False,False,True,False,False,False,3,Q
7,0,54.0,0,0,51.8625,1,True,False,True,False,False,False,False,False,True,False,False,False,1,S
8,0,2.0,3,1,21.075,5,True,False,True,False,True,False,False,False,False,False,False,False,3,S
9,1,27.0,0,2,11.1333,3,False,False,True,False,True,False,False,False,False,True,False,False,3,S
10,1,14.0,1,0,30.0708,2,False,False,False,True,False,False,False,False,False,True,False,False,2,C
11,1,4.0,1,1,16.7,3,False,False,True,False,True,True,False,False,False,False,False,False,3,S
12,1,58.0,0,0,26.55,1,False,False,True,False,False,True,False,False,False,False,False,False,1,S
13,0,20.0,0,0,8.05,1,True,False,True,False,True,False,False,False,True,False,False,False,3,S
14,0,39.0,1,5,31.275,7,True,False,True,False,True,False,False,False,True,False,False,False,3,S
15,0,14.0,0,0,7.8542,1,False,False,True,False,True,True,False,False,False,False,False,False,3,S
16,1,55.0,0,0,16.0,1,False,False,True,True,False,False,False,False,False,True,False,False,2,S
17,0,2.0,4,1,29.125,6,True,True,False,False,True,False,False,False,False,False,False,False,3,Q
18,1,28.0,0,0,13.0,1,True,False,True,True,False,False,False,False,True,False,False,False,2,S
19,0,31.0,1,0,18.0,2,False,False,True,False,True,False,False,False,False,True,False,False,3,S
20,1,28.0,0,0,7.225,1,False,False,False,False,True,False,False,False,False,True,False,False,3,C
21,0,35.0,0,0,26.0,1,True,False,True,True,False,False,False,False,True,False,False,False,2,S
22,1,34.0,0,0,13.0,1,True,False,True,True,False,False,False,False,True,False,False,False,2,S
23,1,15.0,0,0,8.0292,1,False,True,False,False,True,True,False,False,False,False,False,False,3,Q
24,1,28.0,0,0,35.5,1,True,False,True,False,False,False,False,False,True,False,False,False,1,S
25,0,8.0,3,1,21.075,5,False,False,True,False,True,True,False,False,False,False,False,False,3,S
26,1,38.0,1,5,31.3875,7,False,False,True,False,True,False,False,False,False,True,False,False,3,S
27,0,28.0,0,0,7.225,1,True,False,False,False,True,False,False,False,True,False,False,False,3,C
28,0,19.0,3,2,263.0,6,True,False,True,False,False,False,False,False,True,False,False,False,1,S
29,1,28.0,0,0,7.8792,1,False,True,False,False,True,True,False,False,False,False,False,False,3,Q
30,0,28.0,0,0,7.8958,1,True,False,True,False,True,False,False,False,True,False,False,False,3,S
31,0,40.0,0,0,27.7208,1,True,False,False,False,False,False,False,False,False,False,False,True,1,C
32,1,28.0,1,0,146.5208,2,False,False,False,False,False,False,False,False,False,True,False,False,1,C
33,1,28.0,0,0,7.75,1,False,True,False,False,True,True,False,False,False,False,False,False,3,Q
34,0,66.0,0,0,10.5,1,True,False,True,True,False,False,False,False,True,False,False,False,2,S
35,0,28.0,1,0,82.1708,2,True,False,False,False,False,False,False,False,True,False,False,False,1,C
